SoldTo,Customer_Value1
Customer_1490,Faster Growing than Market
Customer_1490,Innovative & Faster Growing than Market
Customer_1492,Innovative
Customer_1493,Niche Player
Customer_1495,Niche Player
Customer_1496,Innovative
Customer_1496,Innovative & Faster Growing than Market
Customer_1497,Innovative & Faster Growing than Market
Customer_1498,Innovative & Faster Growing than Market
Customer_15,Innovative & Faster Growing than Market
Customer_1501,Innovative & Faster Growing than Market
Customer_1501,Niche Player
Customer_1504,Faster Growing than Market
Customer_1506,Faster Growing than Market
Customer_1506,Niche Player
Customer_1507,Faster Growing than Market
Customer_1507,Innovative & Faster Growing than Market
Customer_1507,Market Follower
Customer_1509,Niche Player
Customer_151,Faster Growing than Market
Customer_1510,Niche Player
Customer_1511,Faster Growing than Market
Customer_1511,Innovative & Faster Growing than Market
Customer_1511,Niche Player
Customer_1514,Faster Growing than Market
Customer_1515,Faster Growing than Market
Customer_1517,Innovative & Faster Growing than Market
Customer_1519,Innovative
Customer_1520,Market Follower
Customer_1522,Market Follower
Customer_1524,Innovative & Faster Growing than Market
Customer_1525,Market Follower
Customer_1526,Niche Player
Customer_1528,Innovative & Faster Growing than Market
Customer_1529,Faster Growing than Market
Customer_1529,Niche Player
Customer_153,Niche Player
Customer_1532,Faster Growing than Market
Customer_1532,Market Follower
Customer_1532,Niche Player
Customer_1534,Innovative & Faster Growing than Market
Customer_1535,Market Follower
Customer_1536,Innovative & Faster Growing than Market
Customer_1536,Market Follower
Customer_1536,Niche Player
Customer_1537,Market Follower
Customer_1537,Niche Player
Customer_1541,Innovative
Customer_1541,Niche Player
Customer_1542,Market Follower
Customer_1543,Innovative & Faster Growing than Market
Customer_1544,Faster Growing than Market
Customer_1544,Market Follower
Customer_1545,Niche Player
Customer_1546,Faster Growing than Market
Customer_1546,Innovative
Customer_1546,Innovative & Faster Growing than Market
Customer_1547,Market Follower
Customer_1548,Innovative & Faster Growing than Market
Customer_155,Faster Growing than Market
Customer_1550,Faster Growing than Market
Customer_1550,Niche Player
Customer_1551,Niche Player
Customer_1552,Faster Growing than Market
Customer_1553,Faster Growing than Market
Customer_1553,Innovative
Customer_1553,Innovative & Faster Growing than Market
Customer_1553,Niche Player
Customer_1554,Faster Growing than Market
Customer_1555,Niche Player
Customer_1556,Market Follower
Customer_1557,Faster Growing than Market
Customer_1558,Faster Growing than Market
Customer_1558,Innovative
Customer_1559,Faster Growing than Market
Customer_1559,Innovative
Customer_156,Faster Growing than Market
Customer_1560,Innovative
Customer_1562,Faster Growing than Market
Customer_1564,Faster Growing than Market
Customer_1565,Innovative & Faster Growing than Market
Customer_1566,Innovative
Customer_1568,Innovative
Customer_157,Innovative
Customer_1572,Niche Player
Customer_1573,Innovative
Customer_1573,Market Follower
Customer_1575,Faster Growing than Market
Customer_1575,Niche Player
Customer_1576,Niche Player
Customer_1577,Niche Player
Customer_1579,Innovative & Faster Growing than Market
Customer_158,Innovative & Faster Growing than Market
Customer_1580,Market Follower
Customer_1581,Niche Player
Customer_1582,Innovative & Faster Growing than Market
Customer_1583,Niche Player
Customer_1584,Faster Growing than Market
Customer_1584,Niche Player
Customer_1585,Innovative & Faster Growing than Market
Customer_1586,Innovative
Customer_1587,Innovative
Customer_1587,Market Follower
Customer_1588,Faster Growing than Market
Customer_1588,Innovative
Customer_1589,Faster Growing than Market
Customer_159,Niche Player
Customer_1590,Market Follower
Customer_1591,Innovative
Customer_1591,Niche Player
Customer_1593,Market Follower
Customer_1593,Niche Player
Customer_1594,Niche Player
Customer_1595,Innovative & Faster Growing than Market
Customer_1597,Innovative
Customer_1598,Faster Growing than Market
Customer_16,Faster Growing than Market
Customer_16,Innovative
Customer_16,Innovative & Faster Growing than Market
Customer_16,Niche Player
Customer_160,Innovative
Customer_160,Market Follower
Customer_1600,Innovative & Faster Growing than Market
Customer_1601,Faster Growing than Market
Customer_1602,Market Follower
Customer_1603,Innovative & Faster Growing than Market
Customer_1604,Market Follower
Customer_1605,Faster Growing than Market
Customer_1605,Market Follower
Customer_1605,Niche Player
Customer_1606,Faster Growing than Market
Customer_1607,Innovative & Faster Growing than Market
Customer_1607,Niche Player
Customer_1608,Innovative
Customer_1610,Innovative & Faster Growing than Market
Customer_1611,Faster Growing than Market
Customer_1611,Innovative
Customer_1614,Innovative
Customer_1614,Innovative & Faster Growing than Market
Customer_1616,Innovative & Faster Growing than Market
Customer_1617,Niche Player
Customer_1618,Innovative
Customer_162,Faster Growing than Market
Customer_1620,Niche Player
Customer_1621,Market Follower
Customer_1625,Faster Growing than Market
Customer_1626,Faster Growing than Market
Customer_1627,Faster Growing than Market
Customer_1627,Innovative
Customer_163,Faster Growing than Market
Customer_163,Innovative
Customer_163,Innovative & Faster Growing than Market
Customer_1630,Innovative
Customer_1630,Niche Player
Customer_1631,Innovative & Faster Growing than Market
Customer_1631,Niche Player
Customer_1632,Niche Player
Customer_1634,Faster Growing than Market
Customer_1638,Niche Player
Customer_1639,Innovative
Customer_1639,Innovative & Faster Growing than Market
Customer_1639,Niche Player
Customer_164,Market Follower
Customer_164,Niche Player
Customer_1641,Faster Growing than Market
Customer_1641,Innovative & Faster Growing than Market
Customer_1643,Innovative & Faster Growing than Market
Customer_1645,Faster Growing than Market
Customer_1645,Innovative
Customer_1645,Niche Player
Customer_1646,Faster Growing than Market
Customer_1646,Market Follower
Customer_1649,Innovative
Customer_1649,Market Follower
Customer_165,Innovative & Faster Growing than Market
Customer_1650,Innovative & Faster Growing than Market
Customer_1651,Innovative & Faster Growing than Market
Customer_1651,Market Follower
Customer_1651,Niche Player
Customer_1653,Faster Growing than Market
Customer_1654,Faster Growing than Market
Customer_1654,Innovative & Faster Growing than Market
Customer_1654,Market Follower
Customer_1655,Innovative
Customer_1655,Market Follower
Customer_1656,Innovative & Faster Growing than Market
Customer_1657,Faster Growing than Market
Customer_1659,Faster Growing than Market
Customer_1659,Market Follower
Customer_1660,Innovative & Faster Growing than Market
Customer_1660,Niche Player
Customer_1661,Innovative
Customer_1662,Market Follower
Customer_1662,Niche Player
Customer_1665,Innovative
Customer_1665,Innovative & Faster Growing than Market
Customer_1667,Market Follower
Customer_1668,Innovative
Customer_1668,Market Follower
Customer_1669,Market Follower
Customer_1670,Faster Growing than Market
Customer_1670,Niche Player
Customer_1671,Innovative & Faster Growing than Market
Customer_1672,Market Follower
Customer_1672,Niche Player
Customer_1673,Faster Growing than Market
Customer_1674,Innovative
Customer_1674,Innovative & Faster Growing than Market
Customer_1675,Niche Player
Customer_1676,Niche Player
Customer_1678,Faster Growing than Market
Customer_1678,Niche Player
Customer_1679,Niche Player
Customer_168,Faster Growing than Market
Customer_1680,Market Follower
Customer_1680,Niche Player
Customer_1682,Faster Growing than Market
Customer_1683,Innovative
Customer_1683,Innovative & Faster Growing than Market
Customer_1683,Niche Player
Customer_1687,Faster Growing than Market
Customer_1688,Faster Growing than Market
Customer_1688,Innovative & Faster Growing than Market
Customer_1688,Niche Player
Customer_1689,Innovative & Faster Growing than Market
Customer_1689,Market Follower
Customer_169,Niche Player
Customer_1690,Market Follower
Customer_1691,Innovative & Faster Growing than Market
Customer_1692,Niche Player
Customer_1693,Innovative & Faster Growing than Market
Customer_1693,Market Follower
Customer_1696,Faster Growing than Market
Customer_1696,Innovative & Faster Growing than Market
Customer_1696,Niche Player
Customer_1698,Faster Growing than Market
Customer_1698,Innovative & Faster Growing than Market
Customer_17,Innovative
Customer_17,Niche Player
Customer_170,Faster Growing than Market
Customer_1700,Innovative
Customer_1701,Faster Growing than Market
Customer_1701,Niche Player
Customer_1702,Innovative & Faster Growing than Market
Customer_1704,Niche Player
Customer_1706,Innovative
Customer_1706,Market Follower
Customer_1707,Faster Growing than Market
Customer_1707,Innovative
Customer_1708,Niche Player
Customer_1709,Innovative
Customer_171,Faster Growing than Market
Customer_171,Innovative & Faster Growing than Market
Customer_1710,Faster Growing than Market
Customer_1711,Innovative & Faster Growing than Market
Customer_1712,Innovative
Customer_1712,Innovative & Faster Growing than Market
Customer_1713,Innovative & Faster Growing than Market
Customer_1713,Market Follower
