soldto,c_relationship
Customer_1643,Transactional
Customer_1645,Advanced Business Ties
Customer_1645,Opportunistic
Customer_1645,Partnership
Customer_1646,Partnership
Customer_1646,Pure Business
Customer_1649,Opportunistic
Customer_1649,Transactional
Customer_165,Transactional
Customer_1650,Opportunistic
Customer_1651,Advanced Business Ties
Customer_1651,Pure Business
Customer_1653,Transactional
Customer_1654,Advanced Business Ties
Customer_1654,Partnership
Customer_1654,Pure Business
Customer_1655,Advanced Business Ties
Customer_1655,Pure Business
Customer_1656,Pure Business
Customer_1656,Transactional
Customer_1657,Advanced Business Ties
Customer_1659,Pure Business
Customer_1660,Advanced Business Ties
Customer_1661,Opportunistic
Customer_1662,Opportunistic
Customer_1662,Transactional
Customer_1665,Opportunistic
Customer_1665,Transactional
Customer_1667,Opportunistic
Customer_1668,Opportunistic
Customer_1668,Transactional
Customer_1669,Opportunistic
Customer_1670,Opportunistic
Customer_1670,Pure Business
Customer_1671,Transactional
Customer_1672,Partnership
Customer_1672,Pure Business
Customer_1672,Transactional
Customer_1673,Transactional
Customer_1674,Opportunistic
Customer_1674,Transactional
Customer_1675,Transactional
Customer_1676,Opportunistic
Customer_1678,Opportunistic
Customer_1678,Pure Business
Customer_1679,Advanced Business Ties
Customer_168,Transactional
Customer_1680,Advanced Business Ties
Customer_1680,Partnership
Customer_1680,Transactional
Customer_1682,Pure Business
Customer_1682,Transactional
Customer_1683,Advanced Business Ties
Customer_1683,Opportunistic
Customer_1683,Partnership
Customer_1683,Pure Business
Customer_1687,Opportunistic
Customer_1687,Partnership
Customer_1688,Partnership
Customer_1688,Transactional
Customer_1689,Advanced Business Ties
Customer_1689,Opportunistic
Customer_169,Advanced Business Ties
Customer_1690,Opportunistic
Customer_1691,Partnership
Customer_1692,Advanced Business Ties
Customer_1693,Partnership
Customer_1693,Pure Business
Customer_1696,Advanced Business Ties
Customer_1696,Partnership
Customer_1696,Transactional
Customer_1698,Partnership
Customer_1698,Pure Business
Customer_17,Advanced Business Ties
Customer_17,Transactional
Customer_170,Opportunistic
Customer_170,Pure Business
Customer_1700,Pure Business
Customer_1701,Opportunistic
Customer_1701,Partnership
Customer_1701,Pure Business
Customer_1702,Transactional
Customer_1704,Pure Business
Customer_1706,Opportunistic
Customer_1706,Pure Business
Customer_1707,Pure Business
Customer_1707,Transactional
Customer_1708,Transactional
Customer_1709,Pure Business
Customer_171,Pure Business
Customer_171,Transactional
Customer_1710,Transactional
Customer_1711,Partnership
Customer_1712,Pure Business
Customer_1712,Transactional
Customer_1713,Opportunistic
Customer_1713,Transactional
Customer_1714,Transactional
Customer_1715,Advanced Business Ties
Customer_1715,Opportunistic
Customer_1715,Transactional
Customer_1716,Partnership
Customer_1718,Transactional
Customer_172,Advanced Business Ties
Customer_1720,Pure Business
Customer_1721,Advanced Business Ties
Customer_1721,Partnership
Customer_1722,Opportunistic
Customer_1722,Transactional
Customer_1724,Advanced Business Ties
Customer_1724,Opportunistic
Customer_1724,Pure Business
Customer_1726,Opportunistic
Customer_1727,Pure Business
Customer_1729,Transactional
Customer_173,Advanced Business Ties
Customer_173,Opportunistic
Customer_1730,Opportunistic
Customer_1730,Partnership
Customer_1731,Transactional
Customer_1733,Advanced Business Ties
Customer_1733,Opportunistic
Customer_1733,Transactional
Customer_1734,Opportunistic
Customer_1734,Transactional
Customer_1735,Opportunistic
Customer_1735,Transactional
Customer_1736,Partnership
Customer_1737,Opportunistic
Customer_1739,Advanced Business Ties
Customer_1740,Pure Business
Customer_1741,Pure Business
Customer_1747,Opportunistic
Customer_1748,Opportunistic
Customer_1749,Advanced Business Ties
Customer_1749,Opportunistic
Customer_175,Transactional
Customer_1750,Advanced Business Ties
Customer_1750,Pure Business
Customer_1751,Advanced Business Ties
Customer_1752,Advanced Business Ties
Customer_1752,Transactional
Customer_1753,Advanced Business Ties
Customer_1753,Transactional
Customer_1755,Advanced Business Ties
Customer_1755,Pure Business
Customer_1756,Opportunistic
Customer_1759,Advanced Business Ties
Customer_1759,Opportunistic
Customer_1760,Pure Business
Customer_1760,Transactional
Customer_1762,Advanced Business Ties
Customer_1762,Pure Business
Customer_1763,Partnership
Customer_1764,Advanced Business Ties
Customer_1764,Transactional
Customer_1766,Partnership
Customer_1766,Transactional
Customer_1767,Partnership
Customer_1768,Advanced Business Ties
Customer_177,Partnership
Customer_177,Pure Business
Customer_177,Transactional
Customer_1770,Advanced Business Ties
Customer_1770,Opportunistic
Customer_1771,Advanced Business Ties
Customer_1771,Opportunistic
Customer_1772,Advanced Business Ties
Customer_1772,Opportunistic
Customer_1772,Pure Business
Customer_1774,Transactional
Customer_1775,Opportunistic
Customer_1776,Pure Business
Customer_1776,Transactional
Customer_1778,Transactional
Customer_1779,Pure Business
Customer_178,Pure Business
Customer_1780,Advanced Business Ties
Customer_1780,Transactional
